name,rating,genre,score,director,writer,star,runtime
Alaska,PG,Adventure,5.8,Fraser C. Heston,Andy Burg,Thora Birch,109
Alex Cross,PG-13,Action,5.2,Rob Cohen,Marc Moss,Tyler Perry,101
Alexander,R,Action,5.6,Oliver Stone,Oliver Stone,Colin Farrell,175
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,Comedy,6.2,Miguel Arteta,Rob Lieber,Steve Carell,81
Alfie,R,Comedy,6.2,Charles Shyer,Bill Naughton,Jude Law,103
Ali,R,Biography,6.8,Michael Mann,Gregory Allen Howard,Will Smith,157
Alice,PG-13,Comedy,6.6,Woody Allen,Woody Allen,Mia Farrow,106
Alice in Wonderland,PG,Adventure,6.4,Tim Burton,Linda Woolverton,Mia Wasikowska,108
Alice Through the Looking Glass,PG,Adventure,6.2,James Bobin,Linda Woolverton,Mia Wasikowska,113
Alien 3,R,Action,6.5,David Fincher,Dan O'Bannon,Sigourney Weaver,114
Alien Nation,R,Action,6.3,Graham Baker,Rockne S. O'Bannon,James Caan,91
Alien Predator,R,Drama,3.7,Deran Sarafian,Deran Sarafian,Dennis Christopher,90
Alien vs. Predator,PG-13,Action,5.6,Paul W.S. Anderson,Dan O'Bannon,Sanaa Lathan,101
Alien: Covenant,R,Horror,6.4,Ridley Scott,Dan O'Bannon,Michael Fassbender,122
Alien: Resurrection,R,Action,6.2,Jean-Pierre Jeunet,Dan O'Bannon,Sigourney Weaver,109
Aliens,R,Action,8.3,James Cameron,James Cameron,Sigourney Weaver,137
Aliens in the Attic,PG,Adventure,5.4,John Schultz,Mark Burton,Ashley Tisdale,86
Aliens vs. Predator: Requiem,R,Action,4.6,Colin Strause,Shane Salerno,Reiko Aylesworth,94
Alita: Battle Angel,PG-13,Action,7.3,Robert Rodriguez,James Cameron,Rosa Salazar,122
Alive,R,Biography,7.1,Frank Marshall,Piers Paul Read,Ethan Hawke,120
All About My Mother,R,Drama,7.9,Pedro Almodóvar,Pedro Almodóvar,Cecilia Roth,101
All About Steve,PG-13,Comedy,4.8,Phil Traill,Kim Barker,Sandra Bullock,99
All About the Benjamins,R,Action,5.9,Kevin Bray,Ronald Lang,Ice Cube,95
All Dogs Go to Heaven,G,Animation,6.8,Don Bluth,Don Bluth,Dom DeLuise,84
All Dogs Go to Heaven 2,G,Animation,5.5,Larry Leker,Arne Olsen,Charlie Sheen,82
All Eyez on Me,R,Biography,5.9,Benny Boom,Jeremy Haft,Demetrius Shipp Jr.,139
All Good Things,R,Crime,6.3,Andrew Jarecki,Marcus Hinchey,Ryan Gosling,101
All I See Is You,R,Drama,5.4,Marc Forster,Sean Conway,Blake Lively,109
All I Want for Christmas,G,Comedy,6,Robert Lieberman,Thom Eberhardt,Harley Jane Kozak,92
All Is Lost,PG-13,Action,6.9,J.C. Chandor,J.C. Chandor,Robert Redford,106
All Night Long,R,Comedy,5.5,Jean-Claude Tramont,W.D. Richter,Gene Hackman,87
All of Me,PG,Comedy,6.7,Carl Reiner,Edwin Davis,Steve Martin,93
All or Nothing,R,Drama,7.5,Mike Leigh,Mike Leigh,Timothy Spall,128
All the King's Men,PG-13,Drama,6.2,Steven Zaillian,Steven Zaillian,Sean Penn,128
All the Money in the World,R,Biography,6.8,Ridley Scott,David Scarpa,Michelle Williams,132
All the Pretty Horses,PG-13,Drama,5.8,Billy Bob Thornton,Cormac McCarthy,Matt Damon,116
All the Real Girls,R,Drama,6.8,David Gordon Green,David Gordon Green,Zooey Deschanel,108
All the Right Moves,R,Drama,5.9,Michael Chapman,Michael Kane,Tom Cruise,91
Allan Quatermain and the Lost City of Gold,PG,Action,4.6,Gary Nelson,H. Rider Haggard,Richard Chamberlain,99
Allegiant,PG-13,Action,5.7,Robert Schwentke,Noah Oppenheim,Shailene Woodley,120
Allied,R,Action,7.1,Robert Zemeckis,Steven Knight,Brad Pitt,124
Almost an Angel,PG,Comedy,5.6,John Cornell,Paul Hogan,Paul Hogan,95
Almost Famous,R,Adventure,7.9,Cameron Crowe,Cameron Crowe,Billy Crudup,122
Almost Heroes,PG-13,Adventure,5.8,Christopher Guest,Mark Nutter,Chris Farley,90
Almost You,R,Comedy,5.1,Adam Brooks,Adam Brooks,Brooke Adams,96
Aloha,PG-13,Comedy,5.4,Cameron Crowe,Cameron Crowe,Bradley Cooper,105
Aloha Surf Hotel,Unrated,Comedy,7.1,Stefan C. Schaefer,Stefan C. Schaefer,Augie Tulba,90
Alone in the Dark,R,Action,2.4,Uwe Boll,Elan Mastai,Christian Slater,96
Alone/Together,Unrated,Drama,6.8,Antoinette Jadaone,Antoinette Jadaone,Liza Soberano,103
Along Came a Spider,R,Drama,6.4,Lee Tamahori,James Patterson,Morgan Freeman,104
Along Came Polly,PG-13,Comedy,6,John Hamburg,John Hamburg,Ben Stiller,90
Along With the Gods: The Two Worlds,Unrated,Action,7.3,Yong-hwa Kim,Ho-min Ju,Ha Jung-woo,139
Alpha,PG-13,Action,6.7,Albert Hughes,Daniele Sebastian Wiedenhaupt,Kodi Smit-McPhee,96
Alpha Dog,R,Biography,6.9,Nick Cassavetes,Nick Cassavetes,Emile Hirsch,122
Altered States,R,Horror,6.9,Ken Russell,Paddy Chayefsky,William Hurt,102
Alvin and the Chipmunks,PG,Animation,5.2,Tim Hill,Jon Vitti,Jason Lee,92
Alvin and the Chipmunks: Chipwrecked,G,Animation,4.3,Mike Mitchell,Jonathan Aibel,Justin Long,87
Alvin and the Chipmunks: The Road Chip,PG,Animation,5,Walt Becker,Ross Bagdasarian,Jason Lee,92
Alvin and the Chipmunks: the Squeakquel,PG,Animation,4.5,Betty Thomas,Jon Vitti,Jason Lee,88
Always,PG,Drama,6.4,Steven Spielberg,Jerry Belson,Richard Dreyfuss,122
Amélie,R,Comedy,8.3,Jean-Pierre Jeunet,Guillaume Laurant,Audrey Tautou,122
Amadeus,PG,Biography,8.3,Milos Forman,Peter Shaffer,F. Murray Abraham,160
Amazon Women on the Moon,R,Comedy,6.2,Directors,Michael Barrie,Rosanna Arquette,85
American Animals,R,Biography,7,Bart Layton,Bart Layton,Spencer Reinhard,116
American Anthem,PG-13,Drama,4.8,Albert Magnoli,Evan Archerd,Mitchell Gaylord,102
American Assassin,R,Action,6.2,Michael Cuesta,Stephen Schiff,Dylan O'Brien,111
American Beauty,R,Drama,8.3,Sam Mendes,Alan Ball,Kevin Spacey,122
American Dreamer,PG,Comedy,6.6,Rick Rosenthal,Ann Biderman,JoBeth Williams,105
American Flyers,PG-13,Drama,6.5,John Badham,Steve Tesich,Kevin Costner,113
American Gangster,R,Biography,7.8,Ridley Scott,Steven Zaillian,Denzel Washington,157
American Gigolo,R,Crime,6.2,Paul Schrader,Paul Schrader,Richard Gere,117
American Heart,R,Crime,6.7,Martin Bell,Peter Silverman,Jeff Bridges,113
American History X,R,Drama,8.5,Tony Kaye,David McKenna,Edward Norton,119
American Honey,R,Adventure,7,Andrea Arnold,Andrea Arnold,Sasha Lane,163
American Hustle,R,Crime,7.2,David O. Russell,Eric Warren Singer,Christian Bale,138
American Made,R,Action,7.2,Doug Liman,Gary Spinelli,Tom Cruise,115
American Me,R,Biography,7.2,Edward James Olmos,Floyd Mutrux,Edward James Olmos,125
American Ninja 2: The Confrontation,R,Action,4.9,Sam Firstenberg,Avi Kleinberger,Michael Dudikoff,90
American Ninja 3: Blood Hunt,R,Action,3.6,Cedric Sundstrom,Avi Kleinberger,David Bradley,89
American Ninja 4: The Annihilation,R,Action,4,Cedric Sundstrom,Gideon Amir,Michael Dudikoff,99
American Outlaws,PG-13,Action,6,Les Mayfield,Roderick Taylor,Colin Farrell,94
American Pastoral,R,Crime,6.1,Ewan McGregor,Philip Roth,Ewan McGregor,108
American Pie,R,Comedy,7,Paul Weitz,Adam Herz,Jason Biggs,95
American Pie 2,R,Comedy,6.4,J.B. Rogers,Adam Herz,Jason Biggs,108
American Pop,R,Animation,7.2,Ralph Bakshi,Ronni Kern,Mews Small,96
American Psycho,R,Comedy,7.6,Mary Harron,Bret Easton Ellis,Christian Bale,101
American Reunion,R,Comedy,6.7,Jon Hurwitz,Jon Hurwitz,Jason Biggs,113
American Satan,R,Drama,5.7,Ash Avildsen,Ash Avildsen,Andy Biersack,111
American Sniper,R,Action,7.3,Clint Eastwood,Jason Hall,Bradley Cooper,133
American Splendor,R,Biography,7.4,Shari Springer Berman,Harvey Pekar,Paul Giamatti,101
American Ultra,R,Action,6.1,Nima Nourizadeh,Max Landis,Jesse Eisenberg,96
American Warrior,R,Action,5.5,Sam Firstenberg,Paul De Mielche,Michael Dudikoff,95
American Wedding,R,Comedy,6.3,Jesse Dylan,Adam Herz,Jason Biggs,96
American Woman,R,Drama,6.8,Jake Scott,Brad Ingelsby,Sienna Miller,111
America's Sweethearts,PG-13,Comedy,5.7,Joe Roth,Billy Crystal,Julia Roberts,102
Amistad,R,Biography,7.3,Steven Spielberg,David Franzoni,Djimon Hounsou,155
Amityville 3-D,PG,Horror,4.1,Richard Fleischer,David Ambrose,Tony Roberts,105
Amityville II: The Possession,R,Horror,5.5,Damiano Damiani,Tommy Lee Wallace,James Olson,104
Amityville: The Awakening,PG-13,Horror,4.8,Franck Khalfoun,Franck Khalfoun,Jennifer Jason Leigh,87
Amores Perros,R,Drama,8.1,Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría,154
Amos & Andrew,PG-13,Comedy,5.7,E. Max Frye,E. Max Frye,Nicolas Cage,96
Amour,PG-13,Drama,7.9,Michael Haneke,Michael Haneke,Jean-Louis Trintignant,127
An Acceptable Loss,R,Drama,5.4,Joe Chappelle,Joe Chappelle,Tika Sumpter,102
An Affair of Love,R,Drama,7.1,Frédéric Fonteyne,Philippe Blasband,Nathalie Baye,80
An American Haunting,PG-13,Drama,5.1,Courtney Solomon,Brent Monahan,Donald Sutherland,83
An American Rhapsody,PG-13,Drama,6.7,Éva Gárdos,Éva Gárdos,Nastassja Kinski,106
An American Tail,G,Animation,6.9,Don Bluth,Judy Freudberg,Dom DeLuise,80
An American Tail: Fievel Goes West,G,Animation,6.5,Phil Nibbelink,Flint Dille,James Stewart,75
An American Werewolf in London,R,Comedy,7.5,John Landis,John Landis,David Naughton,97
An American Werewolf in Paris,R,Comedy,5.1,Anthony Waller,John Landis,Tom Everett Scott,105
An Angel at My Table,R,Biography,7.5,Jane Campion,Janet Frame,Kerry Fox,158
An Awfully Big Adventure,R,Comedy,5.9,Mike Newell,Beryl Bainbridge,Hugh Grant,112
An Education,PG-13,Drama,7.3,Lone Scherfig,Lynn Barber,Carey Mulligan,100
An Eye for an Eye,R,Action,5.5,Steve Carver,James Bruner,Chuck Norris,106
An Ideal Husband,PG-13,Comedy,6.8,Oliver Parker,Oscar Wilde,Rupert Everett,97
An Innocent Man,R,Action,6.5,Peter Yates,Larry Brothers,Tom Selleck,113
An Interview with God,Unrated,Drama,5.8,Perry Lang,Ken Aguado,David Strathairn,97
An Officer and a Gentleman,R,Drama,7,Taylor Hackford,Douglas Day Stewart,Richard Gere,124
An Unfinished Life,PG-13,Drama,7,Lasse Hallström,Mark Spragg,Jennifer Lopez,108
Anaconda,PG-13,Action,4.8,Luis Llosa,Hans Bauer,Jon Voight,89
Anacondas: The Hunt for the Blood Orchid,PG-13,Action,4.7,Dwight H. Little,Hans Bauer,Morris Chestnut,97
Analyze That,R,Comedy,5.9,Harold Ramis,Kenneth Lonergan,Robert De Niro,96
Analyze This,R,Comedy,6.7,Harold Ramis,Kenneth Lonergan,Robert De Niro,103
Anastasia,G,Animation,7.2,Don Bluth,Susan Gauthier,Meg Ryan,94
Anchorman 2: the Legend Continues,PG-13,Comedy,6.3,Adam McKay,Will Ferrell,Will Ferrell,119
Anchorman: The Legend of Ron Burgundy,PG-13,Comedy,7.2,Adam McKay,Will Ferrell,Will Ferrell,94
And God Created Woman,R,Comedy,4.3,Roger Vadim,R.J. Stewart,Rebecca De Mornay,100
And So It Goes,PG-13,Comedy,5.8,Rob Reiner,Mark Andrus,Michael Douglas,94
Andhadhun,Unrated,Crime,8.2,Sriram Raghavan,Arijit Biswas,Ayushmann Khurrana,139
Andre,PG,Adventure,5.7,George Miller,Harry Goodridge,Tina Majorino,94
Angel,R,Action,5.7,Robert Vincent O'Neil,Robert Vincent O'Neil,Cliff Gorman,94
Angel Eyes,R,Drama,5.6,Luis Mandoki,Gerald Di Pego,Jennifer Lopez,102
Angel Has Fallen,R,Action,6.4,Ric Roman Waugh,Robert Mark Kamen,Gerard Butler,121
Angel Heart,X,Horror,7.3,Alan Parker,William Hjortsberg,Mickey Rourke,113
Angel-A,R,Comedy,7.1,Luc Besson,Luc Besson,Rie Rasmussen,91
Angela's Ashes,R,Biography,7.3,Alan Parker,Frank McCourt,Emily Watson,145
Angels & Demons,PG-13,Action,6.7,Ron Howard,David Koepp,Tom Hanks,138
Angels and Insects,R,Drama,6.8,Philip Haas,A.S. Byatt,Mark Rylance,116
Angels Crest,R,Drama,5.8,Gaby Dellal,Leslie Schwartz,Thomas Dekker,92
Angels in the Outfield,PG,Comedy,6.2,William Dear,Dorothy Kingsley,Danny Glover,102
Anger Management,PG-13,Comedy,6.2,Peter Segal,David Dorfman,Jack Nicholson,106
Anguish,R,Horror,6.7,Bigas Luna,Bigas Luna,Zelda Rubinstein,89
Angus,PG-13,Comedy,6.7,Patrick Read Johnson,Chris Crutcher,Charlie Talbert,90
Aniara,R,Drama,6.3,Pella Kagerman,Pella Kagerman,Emelie Garbers,106
Animal Factory,R,Crime,6.6,Steve Buscemi,Edward Bunker,Willem Dafoe,94
Animal Kingdom,R,Crime,7.3,David Michôd,David Michôd,James Frecheville,113
Anna,PG-13,Drama,6.5,Yurek Bogayevicz,Yurek Bogayevicz,Sally Kirkland,100
Anna,R,Drama,6.5,Jorge Dorado,Guy Holmes,Mark Strong,99
Anna,R,Action,6.6,Luc Besson,Luc Besson,Sasha Luss,118
Anna and the King,PG-13,Drama,6.7,Andy Tennant,Anna Leonowens,Jodie Foster,148
Anna Karenina,PG-13,Drama,6.3,Bernard Rose,Lev Tolstoy,Sophie Marceau,108
Anna Karenina,R,Drama,6.6,Joe Wright,Tom Stoppard,Keira Knightley,129
Annabelle,R,Horror,5.4,John R. Leonetti,Gary Dauberman,Ward Horton,99
Annabelle Comes Home,R,Horror,5.9,Gary Dauberman,Gary Dauberman,Vera Farmiga,106
Annabelle: Creation,R,Horror,6.5,David F. Sandberg,Gary Dauberman,Anthony LaPaglia,109
Annie,PG,Comedy,6.6,John Huston,Carol Sobieski,Aileen Quinn,127
Annie,PG,Comedy,5.3,Will Gluck,Will Gluck,Quvenzhané Wallis,118
Annihilation,R,Adventure,6.8,Alex Garland,Alex Garland,Natalie Portman,115
Anomalisa,R,Animation,7.3,Duke Johnson,Charlie Kaufman,David Thewlis,90
Anonymous,PG-13,Drama,6.9,Roland Emmerich,John Orloff,Rhys Ifans,130
Another 48 Hrs.,R,Action,5.9,Walter Hill,John Fasano,Eddie Murphy,93
Another Day in Paradise,R,Crime,6.5,Larry Clark,Eddie Little,James Woods,101
Another Earth,PG-13,Drama,6.9,Mike Cahill,Mike Cahill,Brit Marling,92
Another Stakeout,PG-13,Comedy,5.6,John Badham,Jim Kouf,Richard Dreyfuss,108
Another Woman,PG,Drama,7.3,Woody Allen,Woody Allen,Gena Rowlands,81
Another You,R,Comedy,5.4,Maurice Phillips,Ziggy Steinberg,Richard Pryor,98
Anthropoid,R,Action,7.2,Sean Ellis,Sean Ellis,Jamie Dornan,120
Antichrist,Unrated,Drama,6.6,Lars von Trier,Lars von Trier,Willem Dafoe,108
Antitrust,PG-13,Action,6.1,Peter Howitt,Howard Franklin,Ryan Phillippe,108
Ant-Man,PG-13,Action,7.3,Peyton Reed,Edgar Wright,Paul Rudd,117
Ant-Man and the Wasp,PG-13,Action,7,Peyton Reed,Chris McKenna,Paul Rudd,118
Antonia's Line,R,Comedy,7.5,Marleen Gorris,Marleen Gorris,Willeke van Ammelrooy,102
Antwone Fisher,PG-13,Biography,7.3,Denzel Washington,Antwone Fisher,Denzel Washington,120
Antz,PG,Animation,6.5,Eric Darnell,Todd Alcott,Woody Allen,83
Any Given Sunday,R,Drama,6.9,Oliver Stone,Daniel Pyne,Al Pacino,162
Any Which Way You Can,PG,Action,6.1,Buddy Van Horn,Stanford Sherman,Clint Eastwood,116
Anything Else,R,Comedy,6.3,Woody Allen,Woody Allen,Woody Allen,108
Anywhere But Here,PG-13,Comedy,6.2,Wayne Wang,Mona Simpson,Susan Sarandon,114
Apartment Zero,R,Drama,7,Martin Donovan,Martin Donovan,Hart Bochner,124
Apocalypto,R,Action,7.8,Mel Gibson,Mel Gibson,Gerardo Taracena,139
Apollo 13,PG,Adventure,7.6,Ron Howard,Jim Lovell,Tom Hanks,140
Apollo 18,PG-13,Horror,5.2,Gonzalo López-Gallego,Brian Miller,Warren Christie,86
Appaloosa,R,Action,6.7,Ed Harris,Robert Knott,Ed Harris,115
Appointment with Death,PG,Crime,6.2,Michael Winner,Agatha Christie,Peter Ustinov,102
April Fool's Day,R,Horror,6.2,Fred Walton,Danilo Bach,Deborah Foreman,89
Apt Pupil,R,Crime,6.7,Bryan Singer,Stephen King,Ian McKellen,111
Aquaman,PG-13,Action,6.9,James Wan,David Leslie Johnson-McGoldrick,Jason Momoa,143
Aquamarine,PG,Comedy,5.4,Elizabeth Allen Rosenbaum,John Quaintance,Emma Roberts,110
Arachnophobia,PG-13,Comedy,6.4,Frank Marshall,Don Jakoby,Jeff Daniels,109
Arbitrage,R,Drama,6.6,Nicholas Jarecki,Nicholas Jarecki,Richard Gere,107
Archangel,Unrated,Comedy,6.5,Guy Maddin,John B. Harvie,Michael Gottli,90
Arctic,PG-13,Adventure,6.8,Joe Penna,Joe Penna,Mads Mikkelsen,98
Are We There Yet?,PG,Adventure,4.7,Brian Levant,Steven Gary Banks,Ice Cube,95
Argo,R,Biography,7.7,Ben Affleck,Chris Terrio,Ben Affleck,120
Aria,R,Comedy,5.8,Directors,Robert Altman,John Hurt,90
Arizona Dream,R,Comedy,7.3,Emir Kusturica,David Atkins,Johnny Depp,142
Arlington Road,R,Action,7.2,Mark Pellington,Ehren Kruger,Jeff Bridges,117
Armageddon,PG-13,Action,6.7,Michael Bay,Jonathan Hensleigh,Bruce Willis,151
Armed and Dangerous,PG-13,Action,5.7,Mark L. Lester,Brian Grazer,John Candy,88
Armed Response,R,Action,5,Fred Olen Ray,T.L. Lankford,David Carradine,86
Army of Darkness,R,Comedy,7.5,Sam Raimi,Sam Raimi,Bruce Campbell,81
Around the World in 80 Days,PG,Action,5.9,Frank Coraci,Jules Verne,Jackie Chan,120
Arrival,PG-13,Drama,7.9,Denis Villeneuve,Eric Heisserer,Amy Adams,116
Arthur,PG,Comedy,6.9,Steve Gordon,Steve Gordon,Dudley Moore,97
Arthur 2: on the Rocks,PG,Comedy,4.6,Bud Yorkin,Steve Gordon,Dudley Moore,113
Arthur and the Invisibles,PG,Animation,6,Luc Besson,Céline Garcia,Freddie Highmore,94
Article 99,R,Comedy,6.1,Howard Deutch,Ron Cutler,Ray Liotta,100
"As Above, So Below",R,Horror,6.2,John Erick Dowdle,John Erick Dowdle,Perdita Weeks,93
As Good as It Gets,PG-13,Comedy,7.7,James L. Brooks,Mark Andrus,Jack Nicholson,139
As It Is in Heaven,Unrated,Comedy,7.5,Kay Pollak,Anders Nyberg,Michael Nyqvist,133
As Tears Go By,Unrated,Crime,7,Kar-Wai Wong,Jeffrey Lau,Andy Lau,102
Ashes of Time,R,Action,7.1,Kar-Wai Wong,Louis Cha,Brigitte Lin,100
Aspen Extreme,PG-13,Drama,6,Patrick Hasburgh,Patrick Hasburgh,Paul Gross,113
Assassination,PG-13,Action,5.2,Peter R. Hunt,Richard Sale,Charles Bronson,88
Assassination Nation,R,Action,6,Sam Levinson,Sam Levinson,Odessa Young,108
Assassins,R,Action,6.3,Richard Donner,Lilly Wachowski,Sylvester Stallone,132
Assassin's Creed,PG-13,Action,5.7,Justin Kurzel,Michael Lesslie,Michael Fassbender,115
Assault on Precinct 13,R,Action,6.3,Jean-François Richet,John Carpenter,Ethan Hawke,109
Asterix & Obelix: Mission Cleopatra,PG,Adventure,6.7,Alain Chabat,René Goscinny,Gérard Depardieu,107
Asterix and Obelix vs. Caesar,Unrated,Adventure,6,Claude Zidi,René Goscinny,Christian Clavier,109
Asterix at the Olympic Games,Unrated,Adventure,5.2,Frédéric Forestier,René Goscinny,Gérard Depardieu,116
Astro Boy,PG,Animation,6.3,David Bowers,Osamu Tezuka,Freddie Highmore,94
Asylum,R,Drama,6.1,David Mackenzie,Patrick McGrath,Natasha Richardson,99
At Close Range,R,Crime,7,James Foley,Elliott Lewitt,Sean Penn,111
At Eternity's Gate,PG-13,Biography,6.9,Julian Schnabel,Jean-Claude Carrière,Willem Dafoe,111
At First Sight,PG-13,Drama,6,Irwin Winkler,Oliver Sacks,Val Kilmer,128
At Play in the Fields of the Lord,R,Drama,6.8,Hector Babenco,Peter Matthiessen,Tom Berenger,189
ATL,PG-13,Comedy,6.2,Chris Robinson,Tina Gordon,T.I.,105
Atlantis: The Lost Empire,PG,Animation,6.9,Gary Trousdale,Tab Murphy,Michael J. Fox,95
Atlas Shrugged: Part I,PG-13,Drama,5.6,Paul Johansson,Brian Patrick O'Toole,Taylor Schilling,97
Atomic Blonde,R,Action,6.7,David Leitch,Kurt Johnstad,Charlize Theron,115
Atonement,R,Drama,7.8,Joe Wright,Ian McEwan,Keira Knightley,123
Attack on Titan Part 1,Unrated,Action,5,Shinji Higuchi,Hajime Isayama,Haruma Miura,98
Attack the Block,R,Action,6.7,Joe Cornish,Joe Cornish,John Boyega,88
Au Revoir les Enfants,PG,Drama,8,Louis Malle,Louis Malle,Gaspard Manesse,104
August Rush,PG,Drama,7.5,Kirsten Sheridan,Nick Castle,Freddie Highmore,114
August: Osage County,R,Comedy,7.2,John Wells,Tracy Letts,Meryl Streep,121
Austenland,PG-13,Comedy,6.3,Jerusha Hess,Jerusha Hess,Keri Russell,97
Austin Powers in Goldmember,PG-13,Action,6.2,Jay Roach,Mike Myers,Mike Myers,94
Austin Powers: International Man of Mystery,PG-13,Adventure,7,Jay Roach,Mike Myers,Mike Myers,89
Austin Powers: the Spy Who Shagged Me,PG-13,Action,6.6,Jay Roach,Mike Myers,Mike Myers,95
Australia,PG-13,Adventure,6.6,Baz Luhrmann,Stuart Beattie,Nicole Kidman,165
Author! Author!,PG,Comedy,6.2,Arthur Hiller,Israel Horovitz,Al Pacino,110
Auto Focus,R,Biography,6.6,Paul Schrader,Robert Graysmith,Greg Kinnear,105
Autumn in New York,PG-13,Drama,5.6,Joan Chen,Allison Burnett,Richard Gere,103
Avalon,PG,Drama,7.2,Barry Levinson,Barry Levinson,Aidan Quinn,128
Avatar,PG-13,Action,7.8,James Cameron,James Cameron,Sam Worthington,162
Avengers: Age of Ultron,PG-13,Action,7.3,Joss Whedon,Joss Whedon,Robert Downey Jr.,141
Avengers: Endgame,PG-13,Action,8.4,Anthony Russo,Christopher Markus,Robert Downey Jr.,181
Avengers: Infinity War,PG-13,Action,8.4,Anthony Russo,Christopher Markus,Robert Downey Jr.,149
Avenging Angel,R,Action,4.8,Robert Vincent O'Neil,Robert Vincent O'Neil,Betsy Russell,93
Avenging Force,R,Action,5.8,Sam Firstenberg,James Booth,Michael Dudikoff,104
Awake,R,Crime,6.5,Joby Harold,Joby Harold,Hayden Christensen,84
Awakenings,PG-13,Biography,7.8,Penny Marshall,Oliver Sacks,Robert De Niro,121
Away We Go,R,Adventure,7,Sam Mendes,Dave Eggers,John Krasinski,98
B*A*P*S,PG-13,Comedy,4.7,Robert Townsend,Troy Byer,Halle Berry,91
Bébé's Kids,PG-13,Animation,5.8,Bruce W. Smith,Robin Harris,Faizon Love,72
Baahubali 2: The Conclusion,Unrated,Action,8.2,S.S. Rajamouli,Vijayendra Prasad,Prabhas,167
Baahubali: The Beginning,Unrated,Action,8,S.S. Rajamouli,Vijayendra Prasad,Prabhas,159
Babe,G,Comedy,6.8,Chris Noonan,Dick King-Smith,James Cromwell,91
Babe: Pig in the City,PG,Adventure,5.8,George Miller,George Miller,Magda Szubanski,97
Babel,R,Drama,7.4,Alejandro G. Iñárritu,Guillermo Arriaga,Brad Pitt,143
Babette's Feast,G,Drama,7.8,Gabriel Axel,Karen Blixen,Stéphane Audran,103
Baby Boom,PG,Comedy,6.3,Charles Shyer,Nancy Meyers,Diane Keaton,110
Baby Boy,R,Crime,6.4,John Singleton,John Singleton,Alexsandra Wright,130
Baby Driver,R,Action,7.6,Edgar Wright,Edgar Wright,Ansel Elgort,113
Baby Geniuses,PG,Comedy,2.7,Bob Clark,Steven Paul,Kathleen Turner,97
Baby It's You,R,Comedy,6.3,John Sayles,Amy Robinson,Rosanna Arquette,105
Baby Mama,PG-13,Comedy,6,Michael McCullers,Michael McCullers,Tina Fey,99
Baby: Secret of the Lost Legend,PG,Adventure,5.1,Bill Norton,Clifford Green,William Katt,95
Babylon,Unrated,Drama,7.4,Franco Rosso,Franco Rosso,David N. Haynes,95
Babylon A.D.,PG-13,Action,5.6,Mathieu Kassovitz,Maurice G. Dantec,Vin Diesel,90
Baby's Day Out,PG,Adventure,6.2,Patrick Read Johnson,John Hughes,Lara Flynn Boyle,99
Bachelor Party,R,Comedy,6.3,Neal Israel,Bob Israel,Tom Hanks,105
Bachelorette,R,Comedy,5.3,Leslye Headland,Leslye Headland,Kirsten Dunst,87
Back Roads,R,Adventure,5.6,Martin Ritt,Gary DeVore,Sally Field,94
Back to School,PG-13,Comedy,6.6,Alan Metter,Rodney Dangerfield,Rodney Dangerfield,96
Back to the Beach,PG,Comedy,5.9,Lyndall Hobbs,James Komack,Frankie Avalon,92
Back to the Future,PG,Adventure,8.5,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,116
Back to the Future Part II,PG,Adventure,7.8,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,108
Back to the Future Part III,PG,Adventure,7.4,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,118
